STT;Ma_ky_bao_cao;Nam_bao_cao;Tuan_bao_cao;Loai_luong_(XNK);Ten_nuoc_doi_tac;Mo_hang_hoa;Don_vi_so_luong;So_luong;So_luong_thay_the;Trong_luong_tinh_kg;Gia_tri_CIF_(USD);Gia_tri_FOB_(USD);Gia_tri_chinh_(USD)
1;20150101;2015;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;Cái;0;0;311044,02;4606236,29;4448924,82;4606236,29
2;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;200;200;1300;21839,74;21000;21839,74
3;20150101;2015;52;Nhập khẩu;Hàn Quốc;Máy in, máy photocopy, máy fax và phụ tùng;kg;437,54;437,54;437,54;14781,78;14609,09;14781,78
4;20150101;2015;52;Nhập khẩu;Philippines;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;550;550;4400;52358,4;49390;52358,4
6;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;6412;6412;3659,93;726228,76;707812,5;726228,76
7;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1512;1512;1108,54;88634,33;86494,68;88634,33
8;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;4900;4900;2551,39;637594,43;621317,82;637594,43
30;20150101;2015;52;Nhập khẩu;Châu Á khác (chưa xác định);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;12000;12000;865,74;33749,64;33396,55;33749,64
32;20150101;2015;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;77;77;3,63;1179,84;1042,15;1179,84
34;20150101;2015;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;132348;132348;28513,28;1106008,28;1042787,2;1106008,28
35;20150101;2015;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;95995;95995;4335,17;159527,2;157918,59;159527,2
36;20150101;2015;52;Nhập khẩu;Hàn Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;13350;13350;782,11;22387,85;22143,61;22387,85
37;20150101;2015;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;23003;23003;23396;924093,23;862725;924093,23
40;20150101;2015;52;Nhập khẩu;Hồng Kông (Trung Quốc);Mạch tích hợp điện tử;chiếc/đơn vị;201900;201900;805,52;16368,49;16144,37;16368,49
41;20150101;2015;52;Nhập khẩu;Nhật Bản;Mạch tích hợp điện tử;chiếc/đơn vị;1069500;1069500;2173,23;74974,97;73030,62;74974,97
43;20150101;2015;52;Nhập khẩu;Malaysia;Mạch tích hợp điện tử;chiếc/đơn vị;38100;38100;195,19;7252,2;6794,16;7252,2
44;20150101;2015;52;Nhập khẩu;Mexico;Mạch tích hợp điện tử;chiếc/đơn vị;7500;7500;116,81;2417,87;2375;2417,87
45;20150101;2015;52;Nhập khẩu;Châu Á khác (chưa xác định);Mạch tích hợp điện tử;chiếc/đơn vị;1246700;1246700;23556,91;883177,25;866957,76;883177,25
46;20150101;2015;52;Nhập khẩu;Philippines;Mạch tích hợp điện tử;chiếc/đơn vị;39000;39000;215,26;10792,98;10655,78;10792,98
47;20150101;2015;52;Nhập khẩu;Singapore;Mạch tích hợp điện tử;chiếc/đơn vị;50704;50704;2391,95;98046,39;95702,29;98046,39
48;20150101;2015;52;Nhập khẩu;Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;56;56;0,75;93,22;59,44;93,22
50;20150101;2015;52;Nhập khẩu;Hoa Kỳ;Mạch tích hợp điện tử;chiếc/đơn vị;137312;137312;3418,94;114075,22;111994,31;114075,22
53;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;895761;895761;0;0;126972080,2;126972080,2
54;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Canada;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;15;15;0;0;8351,95;8351,95
55;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;800;800;0;0;2404,491;2404,491
56;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Hàn Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;50;50;0;0;7533,499;7533,499
57;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Malaysia;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2469;2469;0;0;133542,777;133542,777
58;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;890115;890115;0;0;126697002,6;126697002,6
59;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Thái Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2312;2312;0;0;123244,856;123244,856
81;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;65317;65317;0;0;3822321,32;3822321,32
83;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;54;54;0;0;27458,775;27458,775
86;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Nhật Bản;Mạch tích hợp điện tử;chiếc/đơn vị;228;228;0;0;94295,499;94295,499
95;20150101;2015;52;Nhập khẩu;Hàn Quốc;Máy in, máy photocopy, máy fax và phụ tùng;kg;328;0;328;2240;0;2240
96;20150101;2015;52;Nhập khẩu;Malaysia;Máy in, máy photocopy, máy fax và phụ tùng;kg;39;0;39;8061;0;8061
97;20150101;2015;52;Nhập khẩu;Singapore;Máy in, máy photocopy, máy fax và phụ tùng;kg;31;0;31;6873;0;6873
99;20150101;2015;52;Nhập khẩu;Thái Lan;Máy in, máy photocopy, máy fax và phụ tùng;kg;5;5;5;283;0;283
101;20150101;2015;52;Nhập khẩu;Áo;Máy in, máy photocopy, máy fax và phụ tùng;kg;878;878;878;14828,641;0;14828,641
102;20150101;2015;52;Nhập khẩu;Séc;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;173;173;293,036;12943,579;0;12943,579
115;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2404,191;0;6366,056;971290;0;971290
122;20150101;2015;52;Nhập khẩu;Châu Á khác (chưa xác định);Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;212,782;0;427,742;84279;0;84279
127;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;450513,997;0;872224,545;56453314;0;56453314
129;20150101;2015;52;Nhập khẩu;Hoa Kỳ;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;63,924;0;376,046;82292;0;82292
130;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;7282;7282;6854;1484052,413;0;1484052,413
131;20150101;2015;52;Nhập khẩu;Áo;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;465;465;345;74304,086;0;74304,086
132;20150101;2015;52;Nhập khẩu;Séc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;30;30;81;1716,417;0;1716,417
133;20150101;2015;52;Nhập khẩu;Đức;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1546;1546;1080;223454,809;0;223454,809
