STT;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong;Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ;Tong_Hang ;Tong_Thanh_Toan ;Tan_suat_mua_hang ;Thuong_Hieu;Danh_Muc
1;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP025;Máy in Canon LBP 2900;Đồ điện tử;2;4.290.000;0;0;8.580.000;9.460.000;20;Canon;Máy in
2;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;0;0;350;410;20;Anker;Phụ kiện
3;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;2;798;3.990.000;3.556.000;12;Apple;Tai nghe
4;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190;15;28;190;223;18;Anker;Phụ kiện
5;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;3;4.590.000;15;2.066.000;13.770.000;12.914.000;1;Samsung;Điện thoại
6;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP003;iPhone 15;Đồ điện tử;2;19.990.000;0;0;39.980.000;44.003.000;4;Apple;Điện thoại
7;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;2;4.798.000;23.990.000;21.139.000;20;Apple;Laptop
8;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP017;Màn hình Dell 24 inch;Đồ điện tử;2;3.290.000;5;329;6.580.000;6.898.000;6;Dell;Màn hình
9;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;3;1.190.000;0;0;3.570.000;3.967.000;20;JBL;Loa
10;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP015;Smart TV Samsung 43 inch;Đồ điện tử;2;7.990.000;0;0;15.980.000;17.600.000;1;Samsung;Tivi
11;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP004;iPhone 14;Đồ điện tử;4;16.990.000;1;6.796.000;67.960.000;67.302.000;20;Apple;Điện thoại
12;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP026;Camera Xiaomi C300;Đồ điện tử;2;990;7;139;1.980.000;2.070.000;1;Xiaomi;Camera
13;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP015;Smart TV Samsung 43 inch;Đồ điện tử;1;7.990.000;2;1.598.000;7.990.000;7.059.000;17;Samsung;Tivi
14;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP026;Camera Xiaomi C300;Đồ điện tử;1;990;0;0;990;1.129.000;20;Xiaomi;Camera
15;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;2;1.190.000;12;286;2.380.000;2.333.000;9;JBL;Loa
16;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;3;3.990.000;3;359;11.970.000;12.797.000;2;Apple;Tai nghe
17;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;3;129;4.290.000;4.595.000;20;Canon;Máy in
18;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;3;4.590.000;3;413;13.770.000;14.711.000;5;Samsung;Điện thoại
19;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;12;2.279.000;18.990.000;18.417.000;20;Samsung;Điện thoại
