Date;Apple;Samsung;Oppo;Xiaomi;Vivo;Nokia;Realme;Unknown;Huawei;Sony;Vsmart;LG;Asus;HTC;Lenovo;Google;Tecno;RIM;Motorola;BBK;Itel;Mobicel;Pantech;Honor;OnePlus;ZTE;Wiko;Infinix;Alcatel;Sharp;Acer;Meizu;Coolpad;Other
2010-04;10.9;2.58;0;0;0;77.99;0;0;0;4.25;0;0.3;0;0.08;0;0.22;0;2.9;0.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33
2010-05;12.6;3.21;0;0;0;75.81;0;0;0;4.57;0;0.28;0;0.03;0;0.18;0;2.66;0.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24
2010-06;10.65;3.32;0;0;0;77.72;0;0;0;4.45;0;0.36;0;0.01;0;0.1;0;2.88;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.19
2010-07;12.04;3.27;0;0;0;77.2;0;0;0;4.14;0;0.39;0;0.03;0;0.14;0;2.23;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26
2010-08;13.01;3.37;0;0;0;76.17;0;0;0;3.96;0;0.33;0;0.03;0;0.14;0;2.41;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24
2010-09;13.96;3.24;0;0;0;75.83;0;0;0;3.8;0;0.29;0;0.03;0;0.13;0;2.27;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16
2010-10;14.04;3.17;0;0;0;75.73;0;0;0;3.96;0;0.26;0;0.03;0;0.18;0;1.95;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16
2010-11;14.64;3.31;0;0;0;75.87;0;0;0;3.43;0;0.27;0;0.03;0;0.11;0;1.97;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15
2010-12;16.39;4.2;0;0;0;73.17;0;0;0;3.51;0;0.3;0;0.02;0;0.1;0;2.02;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13
2011-01;17.63;3.83;0;0;0;72.8;0;0;0;3.21;0;0.24;0;0.07;0;0.09;0;1.86;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13
2011-02;16;4.11;0;0;0;74.09;0;0;0;3.33;0;0.25;0;0.11;0;0.1;0;1.81;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08
2011-03;18.64;4.32;0;0;0;71.57;0;0;0;3.13;0;0.23;0;0.12;0;0.1;0;1.69;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1
