Location_ID,Province,District,Address
1,Cần Thơ,Phường Ninh Kiều,512 Pasteur
2,Cà Mau,Phường Cà Mau,382 Cách Mạng Tháng Tám
3,TP. Hồ Chí Minh,Phường Bình Thạnh,401 Võ Văn Kiệt
4,Tây Ninh,Phường Trảng Bàng,298 Nguyễn Trãi
5,Cần Thơ,Phường Bình Thủy,3 Phạm Văn Đồng
6,TP. Hồ Chí Minh,Phường Tân Bình,592 Nguyễn Trãi
7,Cà Mau,Xã Đầm Dơi,510 Lý Thường Kiệt
8,Đồng Nai,Phường Biên Hòa,116 Trần Hưng Đạo
9,Tây Ninh,Xã Châu Thành,206 Nguyễn Trãi
10,Đồng Nai,Phường Long Khánh,80 Nam Kỳ Khởi Nghĩa
11,Cà Mau,Xã U Minh,295 Võ Văn Kiệt
12,Đồng Nai,Xã Định Quán,81 Trần Hưng Đạo
13,Cà Mau,Phường Cà Mau,139 Lý Thường Kiệt
14,Vĩnh Long,Xã Mang Thít,493 Cách Mạng Tháng Tám
15,TP. Hồ Chí Minh,Phường Bến Thành,363 Nguyễn Huệ
16,TP. Hồ Chí Minh,Phường Tân Bình,63 3 Tháng 2
17,Cần Thơ,Phường Thốt Nốt,595 Điện Biên Phủ
18,Cần Thơ,Phường Ninh Kiều,253 Điện Biên Phủ
19,Đồng Nai,Xã Nhơn Trạch,488 Nguyễn Trãi
20,An Giang,Xã Phú Tân,588 Nguyễn Huệ
21,TP. Hồ Chí Minh,Phường Bình Thạnh,412 Điện Biên Phủ
22,An Giang,Xã Chợ Mới,247 Phạm Văn Đồng
23,Cần Thơ,Phường Ninh Kiều,95 Điện Biên Phủ
24,TP. Hồ Chí Minh,Phường Bến Thành,57 3 Tháng 2
25,TP. Hồ Chí Minh,Phường Bến Thành,471 Nam Kỳ Khởi Nghĩa
26,Tây Ninh,Xã Châu Thành,102 Nguyễn Huệ
27,TP. Hồ Chí Minh,Phường Chợ Lớn,123 Nguyễn Văn Cừ
28,Đồng Nai,Phường Trấn Biên,454 Trần Hưng Đạo
29,An Giang,Phường Châu Đốc,341 Hai Bà Trưng
30,TP. Hồ Chí Minh,Phường Thủ Đức,381 Pasteur
31,Tây Ninh,Phường Tây Ninh,199 Pasteur
32,Cà Mau,Xã Ngọc Hiển,238 Nguyễn Trãi
33,Đồng Nai,Xã Long Thành,421 Điện Biên Phủ
34,An Giang,Xã Tịnh Biên,267 Lý Thường Kiệt
35,Tây Ninh,Phường Trảng Bàng,57 Hai Bà Trưng
36,TP. Hồ Chí Minh,Phường Thủ Đức,590 3 Tháng 2
37,An Giang,Xã Tri Tôn,23 Cách Mạng Tháng Tám
38,Cần Thơ,Phường Thốt Nốt,303 Nguyễn Huệ
39,An Giang,Phường Châu Đốc,572 Nam Kỳ Khởi Nghĩa
40,Cà Mau,Xã U Minh,434 Nam Kỳ Khởi Nghĩa
41,An Giang,Xã Tịnh Biên,468 Lý Thường Kiệt
42,TP. Hồ Chí Minh,Phường Tân Định,144 Nguyễn Huệ
43,TP. Hồ Chí Minh,Phường Tân Bình,137 Nguyễn Trãi
44,Đồng Nai,Phường Trấn Biên,54 Cách Mạng Tháng Tám
45,An Giang,Phường Long Xuyên,444 Pasteur
46,An Giang,Phường Châu Đốc,119 Nguyễn Trãi
47,TP. Hồ Chí Minh,Phường Tân Định,516 Quang Trung
48,Cà Mau,Xã U Minh,364 Phạm Văn Đồng
49,TP. Hồ Chí Minh,Phường Tân Định,198 3 Tháng 2
50,An Giang,Phường Châu Đốc,529 Võ Văn Kiệt
51,An Giang,Xã Phú Tân,234 Võ Văn Kiệt
52,Đồng Nai,Phường Trấn Biên,326 Cách Mạng Tháng Tám
53,TP. Hồ Chí Minh,Phường Bến Thành,188 Nguyễn Văn Cừ
54,Cà Mau,Xã Trần Văn Thời,503 3 Tháng 2
55,Cần Thơ,Phường Cái Răng,360 Hai Bà Trưng
56,TP. Hồ Chí Minh,Phường An Khánh,265 Lý Thường Kiệt
57,Đồng Tháp,Phường Cao Lãnh,230 Điện Biên Phủ
58,Vĩnh Long,Xã Bình Minh,375 Võ Văn Kiệt
59,Đồng Tháp,Phường Hồng Ngự,433 Điện Biên Phủ
60,Tây Ninh,Xã Dương Minh Châu,395 Nam Kỳ Khởi Nghĩa
61,TP. Hồ Chí Minh,Phường An Khánh,17 Cách Mạng Tháng Tám
62,Cần Thơ,Phường Ô Môn,309 3 Tháng 2
63,TP. Hồ Chí Minh,Phường Bến Thành,300 Lý Thường Kiệt
64,Cà Mau,Xã Ngọc Hiển,154 3 Tháng 2
65,An Giang,Phường Long Xuyên,465 3 Tháng 2
66,Đồng Nai,Phường Biên Hòa,287 Phạm Văn Đồng
67,Đồng Nai,Phường Long Khánh,281 Võ Văn Kiệt
68,Đồng Nai,Phường Biên Hòa,274 Lê Lợi
69,TP. Hồ Chí Minh,Phường Chợ Lớn,286 Lê Lợi
70,TP. Hồ Chí Minh,Phường Sài Gòn,400 Cách Mạng Tháng Tám
71,Cần Thơ,Phường Ninh Kiều,415 Điện Biên Phủ
72,An Giang,Xã Chợ Mới,461 Nguyễn Văn Cừ
73,TP. Hồ Chí Minh,Phường Thủ Đức,391 Hai Bà Trưng
74,TP. Hồ Chí Minh,Phường Bình Thạnh,513 Nguyễn Huệ
75,TP. Hồ Chí Minh,Phường Sài Gòn,358 Hai Bà Trưng
76,An Giang,Phường Long Xuyên,158 Nguyễn Văn Cừ
77,Tây Ninh,Phường Tây Ninh,211 Trần Hưng Đạo
78,Đồng Tháp,Phường Cao Lãnh,434 Nguyễn Huệ
79,Cần Thơ,Phường Thốt Nốt,113 Nguyễn Văn Cừ
80,Vĩnh Long,Xã Trà Ôn,260 3 Tháng 2
81,Vĩnh Long,Xã Long Hồ,283 Nguyễn Văn Cừ
