Product_ID,Product_Name,Category
SP025,Máy in Canon LBP 2900,Đồ điện tử
SP021,Sạc nhanh Anker 20W,Đồ điện tử
SP011,Tai nghe AirPods 3,Đồ điện tử
SP022,Cáp sạc Type-C Anker,Đồ điện tử
SP001,Samsung Galaxy A15,Đồ điện tử
SP003,iPhone 15,Đồ điện tử
SP007,MacBook Air M2,Đồ điện tử
SP017,Màn hình Dell 24 inch,Đồ điện tử
SP014,Loa Bluetooth JBL Go 4,Đồ điện tử
SP015,Smart TV Samsung 43 inch,Đồ điện tử
SP004,iPhone 14,Đồ điện tử
SP026,Camera Xiaomi C300,Đồ điện tử
SP002,Samsung Galaxy S24,Đồ điện tử
SP012,Tai nghe Samsung Galaxy Buds FE,Đồ điện tử
SP024,Samsung Galaxy Watch6,Đồ điện tử
SP008,Laptop Dell Inspiron 15,Đồ điện tử
SP006,Xiaomi Pad 6,Đồ điện tử
SP010,Laptop Asus Vivobook 15,Đồ điện tử
SP016,Smart TV LG 55 inch,Đồ điện tử
SP013,Tai nghe Xiaomi Redmi Buds 5,Đồ điện tử
SP019,Bàn phím Logitech K380,Đồ điện tử
SP009,Laptop HP Pavilion 14,Đồ điện tử
SP020,Ổ cứng SSD Kingston 500GB,Đồ điện tử
SP018,Chuột Logitech M331,Đồ điện tử
SP023,Apple Watch SE,Đồ điện tử
SP005,Xiaomi Redmi Note 13,Đồ điện tử
