Country;Indicator;Indicator_Code;Indicator_Value;Year;Month;Quarter;Purchase_Date;City;Region;Product_Category;Brand;Gender;Age;Customer_Segment;Unit_Price_USD;Quantity;Total_Sales_USD;Cost_USD;Profit_USD;Shipping_Method;Delivery_Days;Payment_Method;Import_Export;Supplier;Warehouse;Tax_Rate;Satisfaction_Score
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;2;1;22/02/2024;Ho Chi Minh City;South;Laptop;HP;Male;38;Standard;1249.08;15;18736.2;14670.42;4065.78;Air;1;Credit Card;Import;Intel Vietnam;WH-HCM-01;10;3.3
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;14/09/2024;Hanoi;North;Gaming;Acer;Male;53;Standard;1143.19;11;12575.09;8988.83;3586.26;Road;7;Credit Card;Import;Viettel Store;WH-HCM-01;10;3.3
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;6;2;04/06/2024;Hanoi;North;Laptop;HP;Male;55;Standard;1801.78;2;3603.56;2812.58;790.98;Sea;23;Bank Transfer;Export;FPT Retail;WH-HN-02;5;3.0
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;5;2;27/05/2024;Da Nang;Central;Tablet;Samsung;Female;42;Standard;1192.6;1;1192.6;806.27;386.33;Air;2;E-Wallet;Import;Digiworld;WH-HCM-01;8;3.6
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;8;3;21/08/2024;Nha Trang;Central;Electronic Components;Intel;Female;33;Budget;313.69;10;3136.9;1918.74;1218.16;Road;6;Bank Transfer;Export;Digiworld;WH-DN-03;10;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;3;1;15/03/2024;Ho Chi Minh City;South;Gaming;Acer;Female;20;Budget;999.33;19;18987.27;13207.84;5779.43;Road;6;Cash;Import;Digiworld;WH-HN-02;5;4.7
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;2;1;07/02/2024;Ho Chi Minh City;South;Smartphone;Xiaomi;Female;42;Budget;1116.37;9;10047.33;6191.8;3855.53;Road;6;Bank Transfer;Export;Intel Vietnam;WH-HN-02;5;4.9
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;7;3;19/07/2024;Ho Chi Minh City;South;Gaming;MSI;Female;37;Standard;2578.47;9;23206.23;14016.37;9189.86;Road;4;Cash;Import;FPT Retail;WH-HN-02;5;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;11;4;14/11/2024;Can Tho;South;Electronic Components;Intel;Male;31;Standard;347.97;12;4175.64;3022.3;1153.34;Road;5;E-Wallet;Export;FPT Retail;WH-HN-02;10;3.8
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;25/09/2024;Hai Phong;North;Smartphone;Samsung;Female;21;Premium;518.68;4;2074.72;1406.51;668.21;Road;4;Bank Transfer;Export;LG Vietnam;WH-HCM-01;8;3.4
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;25/09/2024;Ho Chi Minh City;South;Smart TV;Sony;Male;53;Standard;1951.34;12;23416.08;19549.49;3866.59;Air;2;Credit Card;Export;Viettel Store;WH-DN-03;10;4.2
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;01/09/2024;Hanoi;North;Smartphone;Apple;Female;57;Standard;1406.25;8;11250.0;8354.37;2895.63;Road;6;Credit Card;Export;Viettel Store;WH-HN-02;5;4.7
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;8;3;27/08/2024;Ho Chi Minh City;South;Electronic Components;Intel;Male;42;Enterprise;378.71;15;5680.65;4585.33;1095.32;Air;2;Bank Transfer;Import;Intel Vietnam;WH-DN-03;8;3.6
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;25/09/2024;Bien Hoa;South;Smartphone;Oppo;Male;18;Premium;951.24;9;8561.16;5770.81;2790.35;Sea;22;Bank Transfer;Export;LG Vietnam;WH-DN-03;8;3.0
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;08/09/2024;Ho Chi Minh City;South;Smartphone;Xiaomi;Male;28;Budget;808.08;1;808.08;524.99;283.09;Air;3;E-Wallet;Import;Intel Vietnam;WH-HCM-01;5;3.4
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;8;3;07/08/2024;Hai Phong;North;Smartphone;Apple;Male;59;Premium;1153.61;3;3460.83;2743.81;717.02;Air;1;E-Wallet;Export;Intel Vietnam;WH-HN-02;8;3.7
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;7;3;15/07/2024;Ho Chi Minh City;South;Smartphone;Oppo;Male;51;Standard;439.04;7;3073.28;2497.07;576.21;Road;6;Cash;Import;Samsung Vietnam;WH-HN-02;10;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;15/09/2024;Ho Chi Minh City;South;Electronic Components;Intel;Male;44;Standard;197.99;5;989.95;774.54;215.41;Air;2;Credit Card;Import;Viettel Store;WH-HCM-01;8;4.1
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;27/09/2024;Can Tho;South;Electronic Components;Intel;Male;22;Enterprise;203.8;15;3057.0;2379.3;677.7;Air;1;Cash;Import;Intel Vietnam;WH-HN-02;8;4.1
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;1;1;13/01/2024;Hanoi;North;Electronic Components;Intel;Female;32;Enterprise;390.06;7;2730.42;1665.85;1064.57;Air;3;E-Wallet;Export;LG Vietnam;WH-DN-03;10;3.2
