ten_san_pham,thuong_hieu,danh_muc,gia_goc,gia_ban,phan_tram_giam_gia,so_luong_da_ban,so_luong_ton,rating,so_luot_danh_gia,ten_shop,shop_mall,dia_diem_shop,danh_gia_shop,tham_gia_tu
WH-1000XM5,Sony,Tai nghe,719610,561295,22,2016,457,3.7,214,Smart Sony 95,Có,Hải Phòng,4.4,2016
Galaxy S24,Samsung,Điện thoại,20613608,12986573,37,4941,54,4.3,4469,Store Samsung 29,Không,Hải Phòng,4.3,2016
Pavilion 14,HP,Laptop,58851341,40018911,32,2797,569,3.7,1383,Tech HP 12,Không,TP.HCM,4.4,2021
XPS 13,Dell,Laptop,14915909,9844499,34,4402,255,5.0,3105,Tech Dell 71,Không,Hải Phòng,4.9,2021
Inspiron 15,Dell,Laptop,59283015,53947543,9,385,1354,3.8,153,Tech Dell 30,Có,Cần Thơ,4.3,2021
MacBook Air M2,Apple,Laptop,35841813,29390286,18,2197,1437,4.9,297,Center Apple 82,Có,Hải Phòng,4.7,2018
Vivobook 15,Asus,Laptop,30115891,18069534,40,1809,1402,4.0,1578,Mega Asus 8,Có,TP.HCM,4.8,2022
Redmi Note 13,Xiaomi,Điện thoại,19158818,14369113,25,1751,1342,4.2,1321,Store Xiaomi 19,Không,Hà Nội,4.2,2024
XPS 13,Dell,Laptop,51230901,34837012,32,4790,817,4.0,1138,Center Dell 64,Có,TP.HCM,4.9,2018
WH-1000XM5,Sony,Tai nghe,11716580,7967274,32,4895,130,4.1,4886,Store Sony 68,Không,Hải Phòng,4.9,2016
Xperia 1 V,Sony,Điện thoại,12687437,7739336,39,2195,1312,4.0,1207,Store Sony 21,Không,TP.HCM,5.0,2020
Inspiron 15,Dell,Laptop,46069940,41002246,11,2454,1308,4.3,819,Mobile Dell 48,Có,Hải Phòng,5.0,2024
Galaxy Z Fold5,Samsung,Điện thoại,26753744,17122396,36,169,229,4.9,83,Mobile Samsung 8,Có,Hải Phòng,4.9,2017
PlayStation 5,Sony,Gaming,9644773,5883311,39,1040,262,4.5,343,Digital Sony 68,Không,Hà Nội,4.9,2019
PlayStation 5,Sony,Gaming,31775919,22878661,28,3598,1059,4.2,1020,Mobile Sony 9,Không,TP.HCM,4.6,2019
Inspiron 15,Dell,Laptop,12482569,11359137,9,492,468,3.6,21,Mega Dell 43,Có,Hải Phòng,4.2,2023
AirPods Pro 2,Apple,Tai nghe,2519824,1637885,35,2000,968,4.7,394,Tech Apple 13,Không,Đà Nẵng,4.4,2023
EliteBook 840,HP,Laptop,15635366,13915475,11,506,824,4.6,414,Mega HP 14,Có,Hà Nội,4.2,2023
MacBook Air M2,Apple,Laptop,24313673,18964664,22,3799,511,4.8,313,Store Apple 71,Có,TP.HCM,4.7,2024
Pavilion 14,HP,Laptop,18258758,14607006,20,1372,832,4.2,442,Mega HP 52,Có,Hà Nội,4.4,2022
Xiaomi 14,Xiaomi,Điện thoại,24142751,16417070,32,4562,1355,4.6,1273,Mobile Xiaomi 38,Có,TP.HCM,4.6,2024
Galaxy Z Fold5,Samsung,Điện thoại,26045662,23962009,8,420,1196,4.2,276,Mobile Samsung 8,Có,Hà Nội,4.1,2017
WH-1000XM5,Sony,Tai nghe,7074229,6225321,12,4676,504,4.4,330,Center Sony 11,Không,Hải Phòng,4.6,2021
Redmi Note 13,Xiaomi,Điện thoại,26084522,20867617,20,2185,810,3.7,1233,Store Xiaomi 41,Có,TP.HCM,4.5,2025
Galaxy S24,Samsung,Điện thoại,19304543,12161862,37,2182,271,4.9,286,Mobile Samsung 48,Không,Hà Nội,4.4,2024
PlayStation 5,Sony,Gaming,40496609,38471778,5,4553,613,4.9,853,Mobile Sony 34,Có,TP.HCM,4.7,2018
Xiaomi 14,Xiaomi,Điện thoại,19135116,14159985,26,1677,1407,4.5,545,Center Xiaomi 63,Không,TP.HCM,4.1,2022
Victus 16,HP,Laptop,14958612,14210681,5,2742,267,4.5,1077,Mobile HP 95,Không,Hải Phòng,4.7,2024
Galaxy S24,Samsung,Điện thoại,10049529,8642594,14,4479,73,4.8,1218,Store Samsung 17,Có,Đà Nẵng,4.4,2016
Redmi Note 13,Xiaomi,Điện thoại,21745657,19353634,11,2907,1146,4.8,1669,Center Xiaomi 96,Có,Hà Nội,4.9,2018
ROG Strix G16,Asus,Laptop,24036690,17787150,26,3382,1371,4.8,3325,Mobile Asus 35,Có,TP.HCM,4.4,2016
Victus 16,HP,Laptop,26927274,22349637,17,3780,716,4.0,3262,Mega HP 30,Có,TP.HCM,4.7,2022
Xiaomi 14,Xiaomi,Điện thoại,9658747,7533822,22,2886,1313,4.3,2788,Mega Xiaomi 69,Không,TP.HCM,4.1,2020
AirPods Pro 2,Apple,Tai nghe,4753786,4421020,7,898,1221,4.2,751,Mega Apple 41,Không,Hải Phòng,5.0,2017
Zenbook OLED,Asus,Laptop,24755970,19557216,21,373,1451,4.2,271,Mega Asus 69,Có,Đà Nẵng,4.4,2021
XPS 13,Dell,Laptop,56519179,49736877,12,2470,1038,4.0,1677,Digital Dell 52,Không,Hải Phòng,4.1,2022
PlayStation 5,Sony,Gaming,16678777,12675870,24,3336,1122,4.8,1249,Digital Sony 27,Không,Hải Phòng,4.6,2021
Vivobook 15,Asus,Laptop,41672841,34171729,18,4197,969,4.7,1395,Smart Asus 11,Không,Hải Phòng,4.7,2025
Redmi Note 13,Xiaomi,Điện thoại,20761764,15778940,24,1850,407,3.7,99,Mobile Xiaomi 61,Có,Cần Thơ,4.4,2025
AirPods Pro 2,Apple,Tai nghe,11982885,8507848,29,4059,818,3.9,2692,Smart Apple 1,Có,Cần Thơ,4.2,2024
ROG Strix G16,Asus,Laptop,49406869,39525495,20,1004,934,3.7,480,Smart Asus 68,Không,Cần Thơ,4.6,2024
Zenbook OLED,Asus,Laptop,41924755,35636041,15,3898,921,3.9,1017,Mega Asus 82,Không,Hải Phòng,4.5,2019
Xiaomi 14,Xiaomi,Điện thoại,10199819,7853860,23,1930,556,4.0,1833,Center Xiaomi 11,Có,Hà Nội,4.2,2018
WH-1000XM5,Sony,Tai nghe,1377581,950530,31,3349,677,4.3,1708,Tech Sony 27,Không,Cần Thơ,4.9,2025
WH-1000XM5,Sony,Tai nghe,9958481,7070521,29,3917,12,4.9,1228,Mega Sony 50,Không,Hải Phòng,4.7,2024
EliteBook 840,HP,Laptop,26800101,17152064,36,1807,558,4.2,64,Store HP 44,Không,Hà Nội,4.8,2018
Alienware M16,Dell,Gaming,6809687,4766780,30,4858,1155,4.5,692,Smart Dell 55,Có,Cần Thơ,4.2,2020
Vivobook 15,Asus,Laptop,26204281,17294825,34,2687,691,4.6,1557,Digital Asus 97,Không,Đà Nẵng,4.8,2023
Galaxy Z Fold5,Samsung,Điện thoại,8495405,6201645,27,1846,1331,3.6,1339,Tech Samsung 97,Có,Hà Nội,4.2,2016
Inspiron 15,Dell,Laptop,28008480,24367377,13,3889,1371,3.7,3887,Mobile Dell 60,Không,Đà Nẵng,4.2,2025
Xperia 1 V,Sony,Điện thoại,12686170,10783244,15,2558,221,4.4,1282,Center Sony 87,Không,Cần Thơ,4.9,2019
Galaxy Z Fold5,Samsung,Điện thoại,21297346,18954637,11,2480,1401,4.4,500,Mega Samsung 73,Có,Đà Nẵng,4.5,2021
Galaxy Z Fold5,Samsung,Điện thoại,27899636,26504654,5,3451,1003,3.7,1488,Smart Samsung 59,Có,Cần Thơ,4.2,2024
PlayStation 5,Sony,Gaming,41116172,26725511,35,3818,892,4.7,2431,Digital Sony 42,Có,TP.HCM,4.3,2023
MacBook Air M2,Apple,Laptop,50241962,35671793,29,2765,58,4.2,1336,Mobile Apple 63,Có,Đà Nẵng,4.8,2021
Redmi Buds 5,Xiaomi,Tai nghe,4935017,2961010,40,93,1058,4.9,15,Mobile Xiaomi 93,Không,Cần Thơ,4.6,2019
PlayStation 5,Sony,Gaming,37938462,25418769,33,151,190,3.9,108,Smart Sony 32,Không,Hải Phòng,4.4,2024
XPS 13,Dell,Laptop,40555077,24333046,40,2719,720,4.6,1114,Digital Dell 33,Có,TP.HCM,4.7,2021
Galaxy Z Fold5,Samsung,Điện thoại,17425195,14462911,17,1782,991,3.9,1212,Mega Samsung 68,Không,TP.HCM,4.8,2020
MacBook Air M2,Apple,Laptop,24042118,18272009,24,125,1450,4.3,40,Tech Apple 7,Không,Hà Nội,4.6,2023
Galaxy S24,Samsung,Điện thoại,24081689,15653097,35,3931,902,4.0,215,Digital Samsung 62,Có,TP.HCM,4.4,2017
Alienware M16,Dell,Gaming,8597644,7393973,14,1232,1152,4.9,179,Mobile Dell 16,Không,Hải Phòng,4.6,2025
AirPods Pro 2,Apple,Tai nghe,6681684,4476728,33,3636,608,4.8,1761,Digital Apple 73,Có,Hải Phòng,5.0,2017
Pavilion 14,HP,Laptop,53977603,44261634,18,2177,1352,3.6,987,Mobile HP 71,Có,Hà Nội,4.0,2023
Xperia 1 V,Sony,Điện thoại,36535292,28132174,23,277,474,3.9,149,Smart Sony 59,Có,Hà Nội,4.9,2025
WH-1000XM5,Sony,Tai nghe,7432648,6540730,12,4471,460,4.5,2181,Mega Sony 19,Có,TP.HCM,4.2,2020
Alienware M16,Dell,Gaming,43198838,33263105,23,3607,254,4.2,1250,Smart Dell 52,Không,Hải Phòng,4.5,2023
Galaxy Z Fold5,Samsung,Điện thoại,7675011,5219007,32,2650,1236,3.9,379,Mobile Samsung 87,Có,Đà Nẵng,4.6,2018
Zenbook OLED,Asus,Laptop,55722061,37333780,33,2288,371,5.0,1790,Smart Asus 63,Có,Cần Thơ,4.3,2021
Redmi Buds 5,Xiaomi,Tai nghe,2054894,1746659,15,2711,843,4.5,1185,Smart Xiaomi 52,Có,Cần Thơ,4.1,2020
Redmi Note 13,Xiaomi,Điện thoại,32123728,20237948,37,19,1346,4.8,12,Store Xiaomi 7,Có,Hải Phòng,4.4,2023
PlayStation 5,Sony,Gaming,8463607,6940157,18,2197,1124,3.7,1184,Store Sony 90,Không,TP.HCM,4.0,2025
Pavilion 14,HP,Laptop,59632719,50687811,15,2555,1128,3.5,1676,Tech HP 29,Có,Cần Thơ,4.9,2018
Zenbook OLED,Asus,Laptop,31586497,19899493,37,2249,850,4.8,1939,Mobile Asus 59,Có,Cần Thơ,4.2,2025
Alienware M16,Dell,Gaming,14160919,12886436,9,2273,849,4.0,2084,Digital Dell 1,Không,Đà Nẵng,4.8,2025
PlayStation 5,Sony,Gaming,14972069,10031286,33,4422,991,4.0,3095,Store Sony 42,Có,Hà Nội,4.6,2019
Victus 16,HP,Laptop,14929120,11196840,25,3884,1444,4.9,1566,Store HP 85,Có,Cần Thơ,5.0,2018
Alienware M16,Dell,Gaming,27279787,24279010,11,3616,204,4.3,1876,Tech Dell 93,Có,Cần Thơ,4.9,2018
Galaxy A55,Samsung,Điện thoại,22785377,16861178,26,3266,1330,3.6,1350,Mega Samsung 87,Không,Đà Nẵng,4.6,2023
EliteBook 840,HP,Laptop,14409147,13112323,9,1933,1292,4.5,593,Mobile HP 96,Có,Cần Thơ,5.0,2017
ROG Strix G16,Asus,Laptop,58573629,44515958,24,247,94,4.0,19,Digital Asus 46,Không,Cần Thơ,4.1,2024
Zenbook OLED,Asus,Laptop,57754848,48514072,16,1402,358,3.6,788,Center Asus 88,Có,Cần Thơ,4.9,2018
MacBook Air M2,Apple,Laptop,54809055,43299153,21,3774,522,4.5,3686,Mega Apple 60,Không,Hải Phòng,4.2,2023
Redmi Buds 5,Xiaomi,Tai nghe,5318975,3616903,32,2058,935,4.8,820,Store Xiaomi 62,Có,Hà Nội,4.4,2021
XPS 13,Dell,Laptop,58927824,45374424,23,189,1348,4.1,7,Center Dell 88,Có,Hải Phòng,4.7,2020
Pavilion 14,HP,Laptop,52739442,38499792,27,1804,1303,3.8,518,Smart HP 97,Có,TP.HCM,4.9,2016
Xiaomi 14,Xiaomi,Điện thoại,7239055,5212119,28,1086,184,4.9,674,Smart Xiaomi 54,Có,Hà Nội,4.1,2024
Redmi Buds 5,Xiaomi,Tai nghe,8718719,6800600,22,1357,526,4.9,991,Mega Xiaomi 38,Không,TP.HCM,4.5,2017
