Order_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Discount_Rate,VAT,Shipping_Fee,Revenue
DH2020002684,KH00045,SP025,2,4290000,0,858000,22000,9460000
DH2020004980,KH00009,SP021,1,350000,0,35000,25000,410000
DH2020006522,KH00070,SP011,1,3990000,0,319000,45000,3556000
DH2020006863,KH00048,SP022,1,190000,0,16000,45000,223000
DH2020007018,KH00444,SP001,3,4590000,0,1170000,40000,12914000
DH2020008249,KH00567,SP003,2,19990000,0,3998000,25000,44003000
DH2020008457,KH00001,SP007,1,23990000,0,1919000,28000,21139000
DH2020002665,KH00195,SP017,2,3290000,0,625000,22000,6898000
DH2020005827,KH00018,SP014,3,1190000,0,357000,40000,3967000
DH2020006332,KH00861,SP015,2,7990000,0,1598000,22000,17600000
DH2020007570,KH00003,SP004,4,16990000,0,6116000,22000,67302000
DH2020009607,KH02055,SP026,2,990000,0,184000,45000,2070000
DH2020001232,KH00071,SP015,1,7990000,0,639000,28000,7059000
DH2020003109,KH00014,SP026,1,990000,0,99000,40000,1129000
DH2020005860,KH00075,SP014,2,1190000,0,209000,30000,2333000
DH2020007436,KH00304,SP011,3,3990000,0,1161000,25000,12797000
DH2020001394,KH00001,SP025,1,4290000,0,416000,18000,4595000
DH2020003749,KH00130,SP001,3,4590000,0,1336000,18000,14711000
DH2020004511,KH00001,SP002,1,18990000,0,1671000,35000,18417000
DH2020006757,KH00110,SP011,2,3990000,0,774000,35000,8550000
DH2020007313,KH00001,SP002,2,18990000,0,3418000,28000,37628000
DH2020001827,KH00125,SP001,10,4590000,0,4590000,40000,50530000
DH2020006552,KH00001,SP012,3,1590000,0,429000,25000,4747000
DH2020006694,KH00307,SP015,6,7990000,0,4458000,30000,49072000
DH2020007463,KH00113,SP024,3,5490000,0,1598000,22000,17596000
DH2020008106,KH00025,SP024,1,5490000,0,549000,18000,6057000
DH2020008286,KH00005,SP008,3,13990000,0,3358000,18000,36952000
DH2020009083,KH00001,SP004,1,16990000,0,1580000,22000,17403000
DH2020001339,KH00073,SP022,5,190000,0,90000,45000,1037000
DH2020004819,KH00001,SP024,1,5490000,0,522000,22000,5760000
DH2020008719,KH00001,SP024,3,5490000,0,1532000,18000,16867000
DH2020009051,KH00004,SP007,1,23990000,0,2111000,18000,23240000
DH2020000444,KH00515,SP024,3,5490000,0,1647000,28000,18145000
DH2020002081,KH00006,SP006,1,7990000,0,799000,40000,8829000
DH2020002965,KH00001,SP011,1,3990000,0,339000,40000,3771000
DH2020003076,KH00019,SP007,1,23990000,0,2159000,40000,23790000
DH2020005458,KH00002,SP010,1,12990000,0,1169000,22000,12882000
DH2020005524,KH00001,SP022,3,190000,0,46000,45000,547000
DH2020009664,KH00022,SP016,2,11990000,0,2230000,40000,24571000
DH2020000116,KH00016,SP002,4,18990000,0,6457000,35000,71058000
DH2020001378,KH00002,SP006,1,7990000,0,703000,18000,7752000
DH2020001936,KH00684,SP026,4,990000,0,396000,45000,4401000
DH2020003183,KH00276,SP013,2,990000,0,198000,18000,2196000
DH2020004381,KH00005,SP016,5,11990000,0,5695000,18000,62665000
DH2020002062,KH00018,SP019,3,690000,0,201000,22000,2231000
DH2020003763,KH00073,SP010,2,12990000,0,2208000,28000,24319000
DH2020003931,KH00003,SP019,6,690000,0,393000,25000,4351000
DH2020007163,KH00369,SP001,4,4590000,0,1652000,28000,18204000
DH2020007577,KH00250,SP001,5,4590000,0,2066000,28000,22749000
DH2020009257,KH00017,SP001,1,4590000,0,459000,18000,5067000
DH2020009466,KH00040,SP009,2,15990000,0,3198000,35000,35213000
